Subject,Overall_Accuracy,Overall_F1,Rest_Accuracy,Elbow_Accuracy,Hand_Accuracy,Rest_Precision,Rest_Recall,Rest_F1,Elbow_Precision,Elbow_Recall,Elbow_F1,Hand_Precision,Hand_Recall,Hand_F1
sub-001,0.5925925925925926,0.5830742428303405,0.8148148148148148,0.4074074074074074,0.5555555555555556,0.5789473684210527,0.8148148148148148,0.6769230769230768,0.7857142857142857,0.4074074074074074,0.5365853658536585,0.5172413793103449,0.5555555555555556,0.5357142857142857
sub-002,0.6790123456790124,0.6778761819193088,0.7407407407407407,0.7407407407407407,0.5555555555555556,0.6060606060606061,0.7407407407407407,0.6666666666666666,0.7692307692307693,0.7407407407407407,0.7547169811320754,0.6818181818181818,0.5555555555555556,0.6122448979591836
sub-003,0.5185185185185185,0.5196360153256705,0.5555555555555556,0.48148148148148145,0.5185185185185185,0.4838709677419355,0.5555555555555556,0.5172413793103449,0.6190476190476191,0.48148148148148145,0.5416666666666666,0.4827586206896552,0.5185185185185185,0.5
sub-004,0.6419753086419753,0.6282642089093703,0.8518518518518519,0.4074074074074074,0.6666666666666666,0.6571428571428571,0.8518518518518519,0.7419354838709677,0.6470588235294118,0.4074074074074074,0.5,0.6206896551724138,0.6666666666666666,0.6428571428571429
sub-005,0.49382716049382713,0.4772534013605442,0.7777777777777778,0.4074074074074074,0.2962962962962963,0.5675675675675675,0.7777777777777778,0.65625,0.5,0.4074074074074074,0.44897959183673464,0.36363636363636365,0.2962962962962963,0.32653061224489793
sub-006,0.5925925925925926,0.587317581504304,0.7037037037037037,0.6666666666666666,0.4074074074074074,0.7037037037037037,0.7037037037037037,0.7037037037037037,0.5294117647058824,0.6666666666666666,0.5901639344262295,0.55,0.4074074074074074,0.46808510638297873
sub-007,0.7407407407407407,0.7404694071360738,0.7407407407407407,0.8148148148148148,0.6666666666666666,0.6896551724137931,0.7407407407407407,0.7142857142857143,0.8148148148148148,0.8148148148148148,0.8148148148148148,0.72,0.6666666666666666,0.6923076923076923
sub-008,0.5555555555555556,0.548253710086185,0.7407407407407407,0.4444444444444444,0.48148148148148145,0.5714285714285714,0.7407407407407407,0.6451612903225806,0.5454545454545454,0.4444444444444444,0.4897959183673469,0.5416666666666666,0.48148148148148145,0.5098039215686274
sub-009,0.6666666666666666,0.6619178440607012,0.8518518518518519,0.5925925925925926,0.5555555555555556,0.6052631578947368,0.8518518518518519,0.7076923076923076,0.7272727272727273,0.5925925925925926,0.6530612244897959,0.7142857142857143,0.5555555555555556,0.6250000000000001
sub-010,0.5061728395061729,0.4974219620958751,0.6666666666666666,0.5185185185185185,0.3333333333333333,0.4864864864864865,0.6666666666666666,0.5625,0.56,0.5185185185185185,0.5384615384615384,0.47368421052631576,0.3333333333333333,0.391304347826087
